Date,Open,High,Low,Close,Adj Close,Volume,profit,period,yyyymm
1993-02-01,43.96875,44.25,43.96875,44.25,25.6190242767334,480500,0.007112528799821938,1993-02-01,199302
1993-02-02,44.21875,44.375,44.125,44.34375,25.673294067382812,201300,0.0021183394833150793,1993-02-02,199302
1993-02-03,44.40625,44.84375,44.375,44.8125,25.94468116760254,529400,0.010570793896078845,1993-02-03,199302
1993-02-04,44.96875,45.09375,44.46875,45.0,26.05323600769043,531500,0.0041840884220787355,1993-02-04,199302
1993-02-05,44.96875,45.0625,44.71875,44.96875,26.035144805908203,492100,-0.0006943936552405994,1993-02-05,199302
1993-02-08,44.96875,45.125,44.90625,44.96875,26.035144805908203,596100,0.0,1993-02-08,199302
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.854238510131836,122100,-0.006948541946857678,1993-02-09,199302
1993-02-10,44.65625,44.75,44.53125,44.71875,25.890405654907227,379600,0.0013988864828184955,1993-02-10,199302
1993-02-11,44.78125,45.125,44.78125,44.9375,26.017066955566406,19500,0.00489220996949391,1993-02-11,199302
1993-02-12,44.875,44.875,44.59375,44.59375,25.81804847717285,42500,-0.007649535542705532,1993-02-12,199302
1993-02-16,44.46875,44.46875,43.40625,43.46875,25.166711807250977,374800,-0.025227959057314342,1993-02-16,199302
1993-02-17,43.46875,43.53125,43.28125,43.4375,25.14860725402832,210900,-0.0007193849304317768,1993-02-17,199302
1993-02-18,43.9375,43.9375,42.8125,43.40625,25.13052749633789,378100,-0.0007189168572161453,1993-02-18,199302
1993-02-19,43.40625,43.5625,43.34375,43.5625,25.220977783203125,34900,0.0035992195897365242,1993-02-19,199302
1993-02-22,43.6875,43.78125,43.5625,43.71875,25.311445236206055,513600,0.0035869922958806644,1993-02-22,199302
1993-02-23,43.84375,43.875,43.46875,43.6875,25.293363571166992,373700,-0.00071436715171036,1993-02-23,199302
1993-02-24,43.71875,44.25,43.71875,44.25,25.6190242767334,26300,0.012875341970636223,1993-02-24,199302
1993-02-25,44.21875,44.375,44.125,44.34375,25.673294067382812,44500,0.0021183394833150793,1993-02-25,199302
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.709476470947266,66200,0.0014093401286756624,1993-02-26,199302
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.63711166381836,66500,-0.002814713368849864,1993-03-01,199303
1993-03-02,44.3125,44.9375,44.25,44.9375,26.017066955566406,182400,0.014820518657890691,1993-03-02,199303
1993-03-03,45.0,45.15625,44.9375,45.125,26.125606536865234,280100,0.004171860782162584,1993-03-03,199303
1993-03-04,45.1875,45.1875,44.875,44.875,25.980859756469727,89500,-0.005540417987665025,1993-03-04,199303
1993-03-05,44.9375,45.125,44.71875,44.75,25.90850067138672,40000,-0.002785092016248214,1993-03-05,199303
1993-03-08,44.84375,45.75,44.84375,45.75,26.487464904785156,50800,0.02234649703361047,1993-03-08,199303
1993-03-09,45.65625,45.6875,45.5,45.59375,26.397003173828125,169300,-0.0034152657221903082,1993-03-09,199303
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.45126724243164,194400,0.002055690498128815,1993-03-10,199303
1993-03-11,45.71875,45.84375,45.5,45.5625,26.378902435302734,70900,-0.002735778458765936,1993-03-11,199303
1993-03-12,45.1875,45.21875,44.8125,45.09375,26.10751724243164,643600,-0.01028796378229524,1993-03-12,199303
1993-03-15,45.0625,45.3125,45.0625,45.3125,26.234159469604492,310800,0.004850795500654703,1993-03-15,199303
1993-03-16,45.3125,45.4375,45.3125,45.3125,26.234159469604492,30800,0.0,1993-03-16,199303
1993-03-17,45.25,45.25,44.96875,45.03125,26.071340560913086,21800,-0.006206370319584709,1993-03-17,199303
1993-03-18,45.21875,45.5,45.21875,45.3125,26.234159469604492,59300,0.0062451299084906875,1993-03-18,199303
1993-03-19,45.28125,45.28125,45.03125,45.03125,26.194475173950195,66900,-0.0015126955258573105,1993-03-19,199303
1993-03-22,44.59375,44.875,44.5625,44.78125,26.049030303955078,183400,-0.005552501778686492,1993-03-22,199303
1993-03-23,44.90625,44.9375,44.8125,44.875,26.103561401367188,55200,0.0020934022025314025,1993-03-23,199303
1993-03-24,44.8125,45.0625,44.59375,44.875,26.103561401367188,37200,0.0,1993-03-24,199303
1993-03-25,44.90625,45.25,44.84375,45.15625,26.267175674438477,110100,0.006267890827445388,1993-03-25,199303
1993-03-26,45.125,45.15625,44.875,44.90625,26.121755599975586,101500,-0.005536189968242566,1993-03-26,199303
1993-03-29,44.9375,45.3125,44.9375,45.09375,26.230817794799805,87100,0.0041751479683975745,1993-03-29,199303
1993-03-30,45.15625,45.21875,45.09375,45.21875,26.303537368774414,56000,0.002772295341437081,1993-03-30,199303
1993-03-31,45.34375,45.46875,45.1875,45.1875,26.28536033630371,111600,-0.0006910489724580859,1993-03-31,199303
1993-04-01,45.25,45.25,44.9375,45.03125,26.194475173950195,129500,-0.003457634256890496,1993-04-01,199304
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.649133682250977,59400,-0.020818950869515684,1993-04-02,199304
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.776376724243164,172200,0.004960909930468382,1993-04-05,199304
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.70366859436035,129700,-0.002820727314030491,1993-04-06,199304
1993-04-07,44.25,44.34375,44.15625,44.34375,25.794538497924805,28000,0.0035352892615643228,1993-04-07,199304
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.75818634033203,180800,-0.0014092966848660016,1993-04-08,199304
1993-04-12,44.71875,44.9375,44.65625,44.90625,26.121755599975586,348500,0.014114707256165815,1993-04-12,199304
1993-04-13,44.875,45.15625,44.84375,45.0,26.17629051208496,146100,0.0020877200194548973,1993-04-13,199304
1993-04-14,45.03125,45.0625,44.90625,44.9375,26.139934539794922,119600,-0.0013888893948993397,1993-04-14,199304
1993-04-15,44.90625,45.03125,44.75,44.9375,26.139934539794922,148600,0.0,1993-04-15,199304
1993-04-16,44.96875,45.03125,44.875,44.9375,26.139934539794922,47900,0.0,1993-04-16,199304
1993-04-19,44.9375,45.0625,44.71875,44.75,26.030860900878906,157000,-0.004172682175235143,1993-04-19,199304
1993-04-20,44.6875,44.75,44.25,44.53125,25.903615951538086,279500,-0.004888234385537538,1993-04-20,199304
1993-04-21,44.625,44.625,44.375,44.5,25.88544273376465,67900,-0.0007015706921935649,1993-04-21,199304
1993-04-22,44.3125,44.6875,43.9375,43.9375,25.558237075805664,97700,-0.012640527779429478,1993-04-22,199304
1993-04-23,43.84375,43.96875,43.6875,43.75,25.449159622192383,106000,-0.004267800368615293,1993-04-23,199304
1993-04-26,43.78125,43.9375,43.28125,43.40625,25.249208450317383,62600,-0.007856887018801051,1993-04-26,199304
1993-04-27,43.34375,43.875,43.34375,43.875,25.521894454956055,156800,0.010799784285326464,1993-04-27,199304
1993-04-28,43.8125,43.90625,43.71875,43.78125,25.467348098754883,85900,-0.0021372377468860115,1993-04-28,199304
1993-04-29,43.875,43.96875,43.625,43.96875,25.576419830322266,85000,0.0042828067981179885,1993-04-29,199304
1993-04-30,44.125,44.28125,44.03125,44.03125,25.61276626586914,88500,0.001421091606565783,1993-04-30,199304
1993-05-03,44.09375,44.3125,43.90625,44.3125,25.776376724243164,80500,0.006387848023742926,1993-05-03,199305
1993-05-04,44.40625,44.625,44.34375,44.46875,25.86726188659668,149100,0.0035259091425381417,1993-05-04,199305
1993-05-05,44.46875,44.75,44.46875,44.59375,25.939985275268555,109000,0.0028114065180420145,1993-05-05,199305
1993-05-06,44.53125,44.5625,44.40625,44.4375,25.84908103942871,54700,-0.003504405838137159,1993-05-06,199305
1993-05-07,44.46875,44.46875,44.28125,44.34375,25.794538497924805,68000,-0.002110037932130382,1993-05-07,199305
1993-05-10,44.40625,44.6875,44.40625,44.4375,25.84908103942871,113900,0.0021144996065076693,1993-05-10,199305
1993-05-11,44.4375,44.625,44.3125,44.625,25.95815658569336,42600,0.00421970692491036,1993-05-11,199305
1993-05-12,44.4375,44.59375,44.4375,44.5625,25.92180633544922,31000,-0.0014003402022844114,1993-05-12,199305
1993-05-13,44.375,44.375,44.0,44.03125,25.61276626586914,129100,-0.011922011359117857,1993-05-13,199305
1993-05-14,44.03125,44.15625,43.96875,44.0,25.594589233398438,63500,-0.0007096864228571809,1993-05-14,199305
